Visitor,Vis.score,Home,Home.score
SLN,6,MIL,4
WAS,6,NYN,3
ATL,2,PHI,5
NYA,1,PIT,2
MIA,7,SDN,3
TOR,6,ANA,2
BOS,6,BAL,2
CLE,2,CHA,6
DET,13,MIN,4
SEA,11,OAK,1
HOU,6,TBA,4
KCA,2,TEX,5
SDN,6,ARI,7
WAS,4,COL,8
CIN,7,MIL,11
CHN,14,PIT,3
LAN,1,SFN,2
TOR,1,ANA,2
TBA,3,BAL,6
KCA,1,CHA,12
MIN,3,TEX,2
SDN,3,ARI,9
WAS,15,COL,12
CIN,1,MIL,9
CHN,1,PIT,0
LAN,2,SFN,1
TOR,6,SLN,5
OAK,1,ANA,2
TBA,2,BAL,0
KCA,5,CHA,10
HOU,4,CLE,2
SEA,9,DET,19
MIN,8,TEX,1
SDN,8,ARI,5
WAS,11,COL,4
CIN,4,MIL,9
ATL,8,NYN,2
MIA,4,PHI,7
CHN,5,PIT,6
LAN,3,SFN,4
OAK,5,ANA,8
TBA,4,BAL,5
NYA,3,BOS,1
KCA,2,CHA,5
HOU,6,CLE,7
SEA,8,DET,0
MIN,3,TEX,14
SDN,2,ARI,6
WAS,16,COL,5
ATL,7,NYN,5
MIA,2,PHI,3
LAN,5,SFN,1
TOR,4,SLN,8
TOR,4,SLN,6
OAK,1,ANA,2
NYA,3,BOS,0
HOU,3,CLE,4
SEA,2,DET,1
COL,3,ARI,1
PHI,3,LAN,5
PIT,12,MIA,2
ATL,10,MIL,8
SDN,3,SFN,4
CIN,5,SLN,7
NYN,7,WAS,5
CHN,4,BOS,5
SEA,3,CLE,1
CHA,7,DET,3
OAK,4,HOU,9
MIN,6,KCA,4
BAL,11,NYA,14
ANA,6,TEX,3
TBA,7,TOR,4
COL,7,ARI,6
PHI,5,LAN,6
PIT,4,MIA,0
ATL,11,MIL,3
SDN,12,SFN,4
NYN,5,WAS,3
CHN,7,BOS,4
SEA,3,CLE,4
CHA,6,DET,4
OAK,2,HOU,1
BAL,4,NYA,12
ANA,3,TEX,6
TBA,1,TOR,4
COL,0,ARI,2
PHI,3,LAN,5
PIT,3,MIA,10
ATL,3,MIL,4
SDN,5,SFN,2
CIN,5,SLN,4
NYN,5,WAS,23
CHN,2,BOS,6
SEA,4,CLE,12
CHA,3,DET,7
OAK,2,HOU,7
MIN,7,KCA,5
BAL,7,NYA,4
ANA,5,TEX,2
TBA,1,TOR,3
NYN,7,ATL,5
PHI,10,CHN,2
